Instituto,Disciplina,Turma,Dia da Semana,Horário Inicio,Horário Fim,Sala,Docentes
CEL,LA092,LA092 A,Terça,08:00,10:00,PB04,Joacyr Tupinambas De Oliveira
CEL,LA092,LA092 C,Terça,10:00,12:00,PB04,Joacyr Tupinambas De Oliveira
CEL,LA111,LA111 A,Segunda,14:00,16:00,CI06,Bartira Takiuti Ginde
CEL,LA111,LA111 B,Terça,10:00,12:00,CI03,Bartira Takiuti Ginde
CEL,LA111,LA111 C,Terça,16:00,18:00,,Bartira Takiuti Ginde
CEL,LA112,LA112 A,Segunda,14:00,16:00,CI14,Guilherme Jotto Kawachi
CEL,LA112,LA112 B,Segunda,10:00,12:00,CI14,Guilherme Jotto Kawachi
CEL,LA112,LA112 C,Terça,19:00,21:00,CI14,Guilherme Jotto Kawachi
CEL,LA112,LA112 D,Terça,16:00,18:00,CI01,Leny Pereira Costa
CEL,LA113,LA113 A,Segunda,14:00,16:00,CI11,Cynthia Pires Amaral
CEL,LA113,LA113 B,Terça,14:00,16:00,CI09,Tania Regina Gomes Soares
CEL,LA113,LA113 C,Terça,19:00,21:00,CI11,Cynthia Pires Amaral
CEL,LA113,LA113 D,Terça,16:00,18:00,CI09,Tania Regina Gomes Soares
CEL,LA113,LA113 F,Segunda,08:00,10:00,CI09,Edilene Cristina Naressi
CEL,LA113,LA113 G,Segunda,10:00,12:00,CI09,Edilene Cristina Naressi
CEL,LA113,LA113 H,Segunda,16:00,18:00,CI09,Edilene Cristina Naressi
CEL,LA114,LA114 A,Segunda,14:00,16:00,CI10,Norma Wucherpfennig
CEL,LA114,LA114 B,Terça,14:00,16:00,CI07,Anisha Kathrin Vetter
CEL,LA114,LA114 C,Terça,19:00,21:00,CI10,Norma Wucherpfennig
CEL,LA114,LA114 D,Segunda,14:00,16:00,CI07,Anisha Kathrin Vetter
CEL,LA114,LA114 E,Segunda,16:00,18:00,CI10,Norma Wucherpfennig
CEL,LA114,LA114 F,Terça,16:00,18:00,CI07,Anisha Kathrin Vetter
CEL,LA116,LA116 A,Segunda,10:00,12:00,CI06,Damian Alejandro Dzienciarsky
CEL,LA118,LA118 A,Segunda,14:00,16:00,CI04,Regina Celia Da Silva
CEL,LA118,LA118 C,Terça,19:00,21:00,CI04,Regina Celia Da Silva
CEL,LA119,LA119 A,Segunda,14:00,16:00,CI15,David Alonso Bueno Baena
CEL,LA119,LA119 B,Segunda,16:00,18:00,CI15,David Alonso Bueno Baena
CEL,LA119,LA119 C,Terça,19:00,21:00,CI07,David Alonso Bueno Baena
CEL,LA119,LA119 D,Terça,21:00,23:00,CI07,David Alonso Bueno Baena
CEL,LA119,LA119 E,Terça,16:00,18:00,CI16,Romilda Mochiuti
CEL,LA167,LA167 A,Segunda,08:00,10:00,CI10,Patricia Aparecida De Aquino
CEL,LA167,LA167 B,Segunda,10:00,12:00,CI10,Patricia Aparecida De Aquino
CEL,LA167,LA167 C,Terça,10:00,12:00,CI10,Patricia Aparecida De Aquino
CEL,LA212,LA212 A,Segunda,14:00,16:00,CI01,Leny Pereira Costa
CEL,LA212,LA212 B,Terça,14:00,16:00,CI01,Leny Pereira Costa
CEL,LA212,LA212 C,Segunda,16:00,18:00,CI01,Leny Pereira Costa
CEL,LA215,LA215 B,Terça,10:00,12:00,CI06,Nivaldo Dos Santos
CEL,LA217,LA217 A,Segunda,14:00,16:00,CI03,Meirelen Salviano Almeida
CEL,LA217,LA217 B,Segunda,19:00,21:00,CI03,Meirelen Salviano Almeida
CEL,LA219,LA219 B,Segunda,14:00,16:00,CI16,Romilda Mochiuti
CEL,LA219,LA219 D,Terça,19:00,21:00,CI16,Romilda Mochiuti
CEL,LA267,LA267 A,Terça,08:00,10:00,CI10,Patricia Aparecida De Aquino
CEL,LA311,LA311 A,Terça,14:00,16:00,CI03,Bartira Takiuti Ginde
CEL,LA311,LA311 B,Terça,10:00,12:00,CI15,Ayako Akamine
CEL,LA311,LA311 C,Terça,14:00,16:00,CI15,Ayako Akamine
CEL,LA312,LA312 A,Segunda,16:00,18:00,CI13,Emeli Borges Pereira Luz
CEL,LA312,LA312 C,Terça,21:00,23:00,CI14,Guilherme Jotto Kawachi
CEL,LA313,LA313 A,Segunda,16:00,18:00,CI11,Cynthia Pires Amaral
CEL,LA313,LA313 C,Terça,21:00,23:00,CI11,Cynthia Pires Amaral
CEL,LA313,LA313 D,Segunda,14:00,16:00,CI09,Edilene Cristina Naressi
CEL,LA314,LA314 A,Segunda,16:00,18:00,CI07,Anisha Kathrin Vetter
CEL,LA314,LA314 C,Terça,21:00,23:00,CI10,Norma Wucherpfennig
CEL,LA317,LA317 A,Segunda,10:00,12:00,CI03,Meirelen Salviano Almeida
CEL,LA317,LA317 B,Segunda,16:00,18:00,CI03,Meirelen Salviano Almeida
CEL,LA318,LA318 A,Segunda,16:00,18:00,CI04,Regina Celia Da Silva
CEL,LA318,LA318 C,Terça,21:00,23:00,CI04,Regina Celia Da Silva
CEL,LA412,LA412 A,Terça,08:00,10:00,CI04,Maria Victoria Guinle Vivacqua
CEL,LA412,LA412 B,Terça,16:00,18:00,CI04,Maria Victoria Guinle Vivacqua
CEL,LA419,LA419 B,Segunda,16:00,18:00,CI16,Romilda Mochiuti
CEL,LA511,LA511 A,Terça,16:00,18:00,CI15,Ayako Akamine
CEL,LA511,LA511 B,Terça,19:00,21:00,CI15,Ayako Akamine
CEL,LA512,LA512 A,Segunda,14:00,16:00,CI13,Emeli Borges Pereira Luz
CEL,LA514,LA514 A,Terça,16:00,18:00,CI13,Anisha Kathrin Vetter
CEL,LA515,LA515 A,Terça,16:00,18:00,CI06,Nivaldo Dos Santos
CEL,LA516,LA516 A,Segunda,16:00,18:00,CI06,Damian Alejandro Dzienciarsky
CEL,LA612,LA612 A,Terça,10:00,12:00,CI04,Maria Victoria Guinle Vivacqua
CEL,LA615,LA615 A,Terça,14:00,16:00,CI06,Nivaldo Dos Santos
FCA,AG003,AG003 A,Terça,19:00,21:00,UL02,Daniel Henrique Dario Capitani
FCA,CG500,CG500 A,Sexta,19:00,23:00,UL14,Cristiano Morini
FCA,CG707,CG707 A,Quinta,19:00,23:00,UL42,Eric David Cohen
FCA,CP009,CP009 A,Terça,08:00,12:00,UL25,Luís Bruno de Godoy
FCA,CP046,CP046 A,Quarta,16:00,17:00,UL04,Cacilda Mendes Dos Santos Amaral
FCA,CP200,CP200 A,Terça,14:00,16:00,UL21,Fulvia De Barros Manchado Gobatto
FCA,CP205,CP205 A,Quarta,08:00,10:00,UL06,Eliana De Toledo Ishibashi
FCA,CP305,CP305 A,Quinta,14:00,16:00,UL23,Alcides Jose Scaglia
FCA,CP307,CP307 A,Segunda,08:00,12:00,UL44,"Adriana Souza Torsoni, Augusto Ducati Luchessi, Marcio Alberto Torsoni"
FCA,CP307,CP307 B,Segunda,08:00,12:00,UL44,"Adriana Souza Torsoni, Augusto Ducati Luchessi, Marcio Alberto Torsoni"
FCA,CP404,CP404 A,Segunda,08:00,12:00,UL21,Milton Shoiti Misuta
FCA,CP404,CP404 B,Quinta,08:00,12:00,UL27,Milton Shoiti Misuta
FCA,CP404,CP404 C,Segunda,14:00,18:00,UL04,Joao Gustavo De Oliveira Claudino
FCA,CP410,CP410 A,Sexta,08:00,12:00,UL23,Eduardo Rochete Ropelle
FCA,CP411,CP411 A,Segunda,08:00,12:00,UL27,Milton Shoiti Misuta
FCA,CP411,CP411 B,Quinta,08:00,12:00,UL01,Milton Shoiti Misuta
FCA,CP412,CP412 A,Quarta,08:00,12:00,UL03,Milton Shoiti Misuta
FCA,CP413,CP413 A,Quarta,08:00,12:00,UL04,Milton Shoiti Misuta
FCA,CP414,CP414 A,Terça,14:00,18:00,UL06,Alcides Jose Scaglia
FCA,CP502,CP502 A,Quinta,14:00,15:00,LD18,Claudio Alexandre Gobatto
FCA,CP505,CP505 A,Terça,14:00,18:00,UL03,Alcides Jose Scaglia
