FEEC,AM037,"Propriedade Intelectual, Inovação e Empreendedorismo: Temas Contemporâneos",A,Quarta,19:00,21:00,PB16,Renato Da Rocha Lopes,
FEEC,EA044,Planejamento e Análise de Sistemas de Produção,A,Terça,14:00,16:00,FE02,Christiano Lyra Filho,11
FEEC,EA044,Planejamento e Análise de Sistemas de Produção,A,Sexta,14:00,16:00,FE02,Christiano Lyra Filho,11
FEEC,EA044,Planejamento e Análise de Sistemas de Produção,U,Terça,21:00,23:00,FE03,Takaaki Ohishi,41
FEEC,EA044,Planejamento e Análise de Sistemas de Produção,U,Quarta,19:00,21:00,FE03,Takaaki Ohishi,41
FEEC,EA072,Inteligência Artificial em Aplicações Industriais,A,Terça,16:00,18:00,FE13,Fernando Jose Von Zuben,34
FEEC,EA072,Inteligência Artificial em Aplicações Industriais,A,Quinta,16:00,18:00,FE13,Fernando Jose Von Zuben,34
FEEC,EA080,Laboratório de Redes de Computadores,A,Segunda,14:00,18:00,LE25,Edgar Eduardo Benitez Olivo,34
FEEC,EA080,Laboratório de Redes de Computadores,B,Segunda,14:00,18:00,LE25,Edgar Eduardo Benitez Olivo,34
FEEC,EA098,Tópicos em Engenharia de Computação,G,Quarta,14:00,18:00,PE26,"Bruno Sanches Masiero, Gilmar Barreto",
FEEC,EA098,Tópicos em Engenharia de Computação,H,Segunda,10:00,12:00,PE11,Romis Ribeiro De Faissol Attux,
FEEC,EA098,Tópicos em Engenharia de Computação,H,Quarta,10:00,12:00,PE11,Romis Ribeiro De Faissol Attux,
FEEC,EA099,Tópicos em Engenharia de Computação,A,Quarta,08:00,12:00,PE26,Paulo Augusto Valente Ferreira,
FEEC,EA099,Tópicos em Engenharia de Computação,II,Terça,10:00,12:00,PE33,Eric Rohmer,
FEEC,EA099,Tópicos em Engenharia de Computação,II,Quinta,10:00,12:00,PE33,Eric Rohmer,
FEEC,EA513,Circuitos Elétricos,A,Terça,14:00,16:00,FE21,Leonardo Abdala Elias,11
FEEC,EA513,Circuitos Elétricos,A,Quinta,14:00,16:00,FE21,Leonardo Abdala Elias,11
FEEC,EA513,Circuitos Elétricos,B,Terça,14:00,16:00,PE11,Paula Dornhofer Paro Costa,11
FEEC,EA513,Circuitos Elétricos,B,Quinta,14:00,16:00,PE11,Paula Dornhofer Paro Costa,11
FEEC,EA513,Circuitos Elétricos,U,Quinta,19:00,21:00,PE12,Alim Pedro De Castro Goncalves,"41, 49"
FEEC,EA513,Circuitos Elétricos,U,Sexta,21:00,23:00,PE12,Alim Pedro De Castro Goncalves,"41, 49"
FEEC,EA551,Laboratório de Programação de Software Básico,K,Quarta,14:00,18:00,LE27,Marco Aurelio Amaral Henriques,34
FEEC,EA551,Laboratório de Programação de Software Básico,L,Quarta,14:00,18:00,LE27,Marco Aurelio Amaral Henriques,
FEEC,EA614,Análise de Sinais,A,Quarta,08:00,10:00,FE01,Levy Boccato,34
FEEC,EA614,Análise de Sinais,A,Sexta,08:00,10:00,FE01,Levy Boccato,34
FEEC,EA614,Análise de Sinais,B,Quarta,08:00,10:00,FE03,Renato Da Rocha Lopes,34
FEEC,EA614,Análise de Sinais,B,Sexta,08:00,10:00,FE03,Renato Da Rocha Lopes,34
FEEC,EA614,Análise de Sinais,U,Segunda,19:00,21:00,FE02,Renato Da Rocha Lopes,41
FEEC,EA614,Análise de Sinais,U,Quarta,21:00,23:00,FE02,Renato Da Rocha Lopes,41
FEEC,EA616,Análise Linear de Sistemas,A,Terça,14:00,16:00,PE12,Pedro Luis Dias Peres,11
FEEC,EA616,Análise Linear de Sistemas,A,Quinta,14:00,16:00,PE12,Pedro Luis Dias Peres,11
FEEC,EA619,Laboratório de Análise Linear,K,Quarta,14:00,18:00,LE31,Marconi Kolm Madrid,11
FEEC,EA619,Laboratório de Análise Linear,L,Quarta,14:00,18:00,LE31,Marconi Kolm Madrid,11
FEEC,EA619,Laboratório de Análise Linear,S,Sexta,14:00,18:00,LE31,Ricardo Coracao De Leao F De Oliveira,11
FEEC,EA619,Laboratório de Análise Linear,T,Sexta,14:00,18:00,LE31,Ricardo Coracao De Leao F De Oliveira,11
FEEC,EA701,Introdução aos Sistemas Embarcados,A,Quarta,08:00,12:00,LE30,Fabiano Fruett,34
FEEC,EA701,Introdução aos Sistemas Embarcados,B,Sexta,08:00,12:00,LE30,Rafael Ferrari,11
FEEC,EA701,Introdução aos Sistemas Embarcados,U,Segunda,19:00,23:00,LE30,Fabiano Fruett,41
FEEC,EA721,Princípios de Controle e Servomecanismo,A,Terça,14:00,16:00,FE22,Cecilia De Freitas Morais,34
FEEC,EA721,Princípios de Controle e Servomecanismo,A,Quinta,14:00,16:00,FE22,Cecilia De Freitas Morais,34
FEEC,EA722,Laboratório de Controle e Servomecanismo,C,Segunda,14:00,18:00,LE27,Pedro Gatti Artaxo Netto,34
FEEC,EA722,Laboratório de Controle e Servomecanismo,D,Segunda,14:00,18:00,LE27,Pedro Gatti Artaxo Netto,34
FEEC,EA772,Circuitos Lógicos,A,Terça,14:00,16:00,FE03,Denis Gustavo Fantinato,34
FEEC,EA772,Circuitos Lógicos,A,Quinta,14:00,16:00,FE03,Denis Gustavo Fantinato,34
FEEC,EA772,Circuitos Lógicos,B,Terça,14:00,16:00,FE13,Leticia Rittner,34
FEEC,EA772,Circuitos Lógicos,B,Quinta,14:00,16:00,FE13,Leticia Rittner,34
FEEC,EA772,Circuitos Lógicos,U,Terça,19:00,21:00,FE13,Jose Wilson Magalhaes Bassani,41
FEEC,EA772,Circuitos Lógicos,U,Quinta,21:00,23:00,FE13,Jose Wilson Magalhaes Bassani,41
FEEC,EA773,Laboratório de Circuitos Lógicos,C,Segunda,14:00,18:00,LE11,Christian Rodolfo Esteve Rothenberg,11
FEEC,EA773,Laboratório de Circuitos Lógicos,D,Segunda,14:00,18:00,LE11,Christian Rodolfo Esteve Rothenberg,11
FEEC,EA773,Laboratório de Circuitos Lógicos,S,Sexta,14:00,18:00,LE11,Ricardo Ribeiro Gudwin,11
FEEC,EA773,Laboratório de Circuitos Lógicos,T,Sexta,14:00,18:00,LE11,Ricardo Ribeiro Gudwin,11
FEEC,EA773,Laboratório de Circuitos Lógicos,U,Quinta,19:00,23:00,LE11,Jose Mario De Martino,41
FEEC,EA773,Laboratório de Circuitos Lógicos,W,Quinta,19:00,23:00,LE11,Jose Mario De Martino,41
FEEC,EA801,Laboratório de Projetos de Sistemas Embarcados,A,Segunda,14:00,18:00,LE14,Wu Shin Ting,11
FEEC,EA801,Laboratório de Projetos de Sistemas Embarcados,B,Segunda,14:00,18:00,LE14,Wu Shin Ting,11
FEEC,EA801,Laboratório de Projetos de Sistemas Embarcados,C,Quarta,14:00,18:00,LE14,Antonio Augusto Fasolo Quevedo,11
FEEC,EA801,Laboratório de Projetos de Sistemas Embarcados,D,Quarta,14:00,18:00,LE14,Antonio Augusto Fasolo Quevedo,11
FEEC,EA869,Introdução a Sistemas de Computação Digital,U,Terça,19:00,21:00,FE21,Jeferson Rodrigues Cotrim,41
FEEC,EA869,Introdução a Sistemas de Computação Digital,U,Sexta,21:00,23:00,FE21,Jeferson Rodrigues Cotrim,41
FEEC,EA960,Organização de Computadores,A,Terça,16:00,18:00,PE22,Eric Rohmer,34
FEEC,EA960,Organização de Computadores,A,Quinta,16:00,18:00,PE22,Eric Rohmer,34
FEEC,EA997,Introdução à Engenharia Biomédica,A,Terça,14:00,16:00,PE22,Jose Wilson Magalhaes Bassani,
FEEC,EA997,Introdução à Engenharia Biomédica,A,Quinta,14:00,16:00,PE22,Jose Wilson Magalhaes Bassani,
FEEC,EA998,Tópicos em Engenharia de Computação,AA,Quarta,14:00,18:00,FE21,Jeferson Rodrigues Cotrim,
FEEC,EA998,Tópicos em Engenharia de Computação,N,Quarta,14:00,18:00,FE12,Paula Dornhofer Paro Costa,
FEEC,EE097,Tópicos em Engenharia Elétrica,N,Terça,14:00,16:00,PE35,Hugo Enrique Hernandez Figueroa,
FEEC,EE097,Tópicos em Engenharia Elétrica,N,Quinta,14:00,16:00,PE35,Hugo Enrique Hernandez Figueroa,
FEEC,EE097,Tópicos em Engenharia Elétrica,X,Quarta,08:00,12:00,PE24,"Jose Candido Silveira Santos Filho, Paulo Cardieri",
FEEC,EE103,Laboratório de Engenharia Elétrica I,O,Quinta,14:00,18:00,LE15,Eduardo Tavares Costa,11
FEEC,EE103,Laboratório de Engenharia Elétrica I,P,Quinta,14:00,18:00,LE15,Eduardo Tavares Costa,11
FEEC,EE103,Laboratório de Engenharia Elétrica I,U,Quinta,19:00,23:00,LE15,Maria Cristina Dias Tavares,41
FEEC,EE103,Laboratório de Engenharia Elétrica I,W,Quinta,19:00,23:00,LE15,Maria Cristina Dias Tavares,41
FEEC,EE300,Fundamentos da Física Moderna,A,Segunda,10:00,12:00,FE01,Jose Alexandre Diniz,11
FEEC,EE300,Fundamentos da Física Moderna,A,Quarta,10:00,12:00,FE01,Jose Alexandre Diniz,11
FEEC,EE301,Laboratório de Fundamentos Físicos para a Engenharia Elétrica,C,Segunda,14:00,18:00,LE35,Darli Augusto De Arruda Mello,11
FEEC,EE301,Laboratório de Fundamentos Físicos para a Engenharia Elétrica,D,Segunda,14:00,18:00,LE35,Darli Augusto De Arruda Mello,11
FEEC,EE301,Laboratório de Fundamentos Físicos para a Engenharia Elétrica,K,Quarta,14:00,18:00,LE35,Marco Roberto Cavallari,11
FEEC,EE301,Laboratório de Fundamentos Físicos para a Engenharia Elétrica,L,Quarta,14:00,18:00,LE35,Marco Roberto Cavallari,11
FEEC,EE301,Laboratório de Fundamentos Físicos para a Engenharia Elétrica,Q,Sexta,08:00,12:00,LE35,Hudson Giovani Zanin,11
FEEC,EE301,Laboratório de Fundamentos Físicos para a Engenharia Elétrica,R,Sexta,08:00,12:00,LE35,Hudson Giovani Zanin,11
FEEC,EE400,Métodos da Engenharia Elétrica,A,Segunda,08:00,10:00,FE02,Matheus Souza,11
FEEC,EE400,Métodos da Engenharia Elétrica,A,Quarta,08:00,10:00,FE02,Matheus Souza,11
FEEC,EE410,Introdução à Ciência dos Materiais para Engenharia Elétrica,U,Segunda,21:00,23:00,FE01,Romis Ribeiro De Faissol Attux,41
FEEC,EE410,Introdução à Ciência dos Materiais para Engenharia Elétrica,U,Quarta,19:00,21:00,FE01,Romis Ribeiro De Faissol Attux,41
FEEC,EE522,Laboratório de Eletromagnetismo,U,Sexta,19:00,23:00,LE36,Cesar Jose Bonjuani Pagan,41
FEEC,EE522,Laboratório de Eletromagnetismo,W,Sexta,19:00,23:00,LE36,Cesar Jose Bonjuani Pagan,41
FEEC,EE523,Introdução à Teoria Eletromagnética,A,Quarta,14:00,16:00,PE11,Aldario Chrestani Bordonalli,11
FEEC,EE523,Introdução à Teoria Eletromagnética,A,Sexta,14:00,16:00,PE11,Aldario Chrestani Bordonalli,11
FEEC,EE533,Eletrônica Básica I,B,Segunda,08:00,10:00,PE11,José Enrique Eirez Izquierdo,"11, 108"
FEEC,EE533,Eletrônica Básica I,B,Quarta,08:00,10:00,PE11,José Enrique Eirez Izquierdo,"11, 108"
FEEC,EE534,Laboratório de Eletrônica Aplicada,A,Segunda,08:00,12:00,LE14,Carina Marconi Germer,34
FEEC,EE534,Laboratório de Eletrônica Aplicada,B,Segunda,08:00,12:00,LE14,Carina Marconi Germer,34
FEEC,EE534,Laboratório de Eletrônica Aplicada,C,Terça,14:00,18:00,LE14,Marcos Vinicius Puydinger Dos Santos,34
FEEC,EE534,Laboratório de Eletrônica Aplicada,D,Terça,14:00,18:00,LE14,Marcos Vinicius Puydinger Dos Santos,34
FEEC,EE534,Laboratório de Eletrônica Aplicada,U,Sexta,19:00,23:00,LE14,Marcos Vinicius Puydinger Dos Santos,"41, 49"
FEEC,EE534,Laboratório de Eletrônica Aplicada,W,Sexta,19:00,23:00,LE14,Marcos Vinicius Puydinger Dos Santos,"41, 49"
FEEC,EE534,Laboratório de Eletrônica Aplicada,X,Quinta,19:00,23:00,LE14,Bruno Sanches Masiero,"41, 49"
FEEC,EE534,Laboratório de Eletrônica Aplicada,Y,Quinta,19:00,23:00,LE14,Bruno Sanches Masiero,"41, 49"
FEEC,EE540,Teoria Eletromagnética,U,Segunda,21:00,23:00,FE02,Michel Zamboni Rached,41
FEEC,EE540,Teoria Eletromagnética,U,Quarta,19:00,21:00,FE02,Michel Zamboni Rached,41
FEEC,EE640,Eletrônica Básica II,U,Quarta,21:00,23:00,PE11,Leandro Tiago Manera,41
FEEC,EE640,Eletrônica Básica II,U,Quinta,19:00,21:00,PE11,Leandro Tiago Manera,41
FEEC,EE641,Laboratório de Eletrônica Básica II,O,Quinta,14:00,18:00,LE14,Leandro Tiago Manera,"11, 108"
FEEC,EE641,Laboratório de Eletrônica Básica II,P,Quinta,14:00,18:00,LE14,Leandro Tiago Manera,"11, 108"
FEEC,EE754,Ondas Guiadas,A,Terça,08:00,10:00,FE03,Jose Pissolato Filho,11
FEEC,EE754,Ondas Guiadas,A,Quinta,08:00,10:00,FE03,Jose Pissolato Filho,11
FEEC,EE755,Laboratório de Ondas Guiadas,U,Sexta,19:00,23:00,LE32,Gustavo Fraidenraich,41
FEEC,EE755,Laboratório de Ondas Guiadas,W,Sexta,19:00,23:00,LE32,Gustavo Fraidenraich,41
